timestep,remainder
500,-0.06759805142456798
501,-0.09378852761502543
502,-0.639026622853109
503,-0.8080742419007336
504,0.024068615242125446
505,-1.9818837657102684
506,-2.828312337138815
507,-2.0187885276150332
508,-2.3890266228531267
509,0.533592424765942
510,-1.1449790038054921
511,-0.7747409085673915
512,-1.0723599561864603
513,0.2324019485754505
514,-0.1795028133293144
515,0.9514495676230617
516,2.0443067104802317
517,-0.5521218609483469
518,-1.7306932895197775
519,-1.5128361466626146
520,-0.7961694799959957
521,-0.14021709904360335
522,-1.360455194281677
523,-0.4652170990435849
524,-2.9223599561864404
525,-3.329502813329313
526,-2.5985504323769213
527,-2.1533123371388356
528,-1.2283123371388278
529,-2.0390266228531218
530,-0.20212186094839524
531,0.6514495676230929
532,1.0895448057183081
533,0.6943067104802303
534,-0.10450281332927602
535,-0.24735995618645745
536,4.458592424765946
537,2.893116234289735
538,1.6478781390516417
539,-1.952121860948349
540,-1.8223599561864496
541,1.6276400438135354
542,0.48359242476592
543,-1.1211694799959844
544,-1.9116456704721543
545,-2.698550432376944
546,-1.0318837657102335
547,-1.7164075752340509
548,-0.889026622853148
549,-1.9033123371388179
550,-0.921169479995978
551,-1.4795028133293187
552,-1.1854551942817046
553,-1.32474090856741
554,-0.42593138475786674
555,-0.8664075752340707
556,-0.8711694799959915
557,-1.1187885276150062
558,-4.804502813329314
559,-3.9164075752340572
560,-2.5247409085674093
561,-0.17712186094836468
562,-1.2961694799959673
563,-0.6997409085673993
564,-0.7033123371388292
565,-0.3318837657102698
566,-0.8140266228531097
567,-0.3437885276150219
568,0.22764004381355107
569,-0.5140266228531338
570,-0.5223599561864525
571,2.610973377146884
572,-0.04021709904361259
573,1.2502590914325857
574,-1.6604551942816776
575,-2.4652170990435955
576,-3.5818837657102414
577,-2.529502813329316
578,-0.3902170990435785
579,-1.154502813329323
580,-0.2628361466626572
581,0.2526400438135603
582,0.5895448057183046
583,0.07287813905164597
584,-0.6521218609483732
585,-0.606883765710247
586,0.30859242476591575
587,1.0550209961945143
588,1.206211472384961
589,0.5538305200040305
590,0.5085924247659221
591,1.2252590914326085
592,0.7728781390516595
593,0.16930671048020685
594,1.1895448057183309
595,1.6788305200040163
596,2.1824019485754675
597,-0.5354551942816919
598,0.3193067104801983
599,0.5228781390516559
600,0.03240194857544054
601,-0.6128361466626515
602,-1.4640266228531118
603,-1.0140266228531125
604,-1.0902170990435778
605,-0.4533123371388328
606,-0.11759805142454383
607,2.1835924247659335
608,0.097878139051641
609,0.32049718667069627
610,1.1193067104802132
611,2.31335432952784
612,0.3609733771469017
613,1.7443067104802168
614,2.793116234289748
615,0.29549718667069413
616,1.6800209961945143
617,2.382401948575456
618,3.076449567623065
619,2.5931162342897345
620,-0.47355043237691063
621,-1.6318837657102598
622,0.6431162342897458
623,2.309782900956403
624,1.7800209961945228
625,-0.24855043237691632
626,2.1466876628611793
627,4.859782900956407
628,4.685973377146897
629,3.456211472384993
630,1.6895448057183202
631,2.2371638533373606
632,2.8609733771469017
633,2.3014495676230773
634,2.0038305200040227
635,-1.250931384757866
636,-3.3235504323769263
637,-3.8152170990435934
638,-2.5902170990435796
639,-2.6664075752340715
640,-1.2414075752340548
641,-4.043788527615009
642,-4.566407575234081
643,-4.1664075752340555
644,-5.9747409085674015
645,-2.8592647180912074
646,-1.7509313847578802
647,-0.20450281332929166
648,-0.9747409085674086
649,1.5978781390516499
650,0.2871638533373684
651,2.902640043813541
652,0.4514495676230794
653,1.8704971866707005
654,0.8371638533373691
655,1.2252590914325925
656,2.225259091432598
657,0.35025909143261735
658,0.5228781390516595
659,2.007401948575458
660,2.0633543295278507
661,5.083592424765943
662,4.734782900956414
663,1.106211472384988
664,1.505020996194503
665,-0.1425980514245495
666,-1.2056932895197665
667,-3.286645670472165
668,-4.13426471809119
669,-2.97474090856738
670,-2.4402170990435863
671,-1.5783123371388275
672,-1.7806932895197836
673,-0.46045519428169435
674,2.196687662861173
675,3.334782900956407
676,3.6062114723849863
677,3.744306710480231
678,3.6324019485754615
679,-1.3652170990435781
680,0.9335924247659388
681,1.0681162342897377
682,1.2371638533373748
683,-0.7366456704721447
684,1.8359733771468836
685,1.8014495676230862
686,0.3014495676230773
687,0.6133543295278407
688,-0.2604551942816773
689,-3.0128361466626394
690,-3.705693289519778
691,-3.389026622853116
692,-2.347359956186448
693,2.232401948575461
694,0.12764004381356386
695,1.494306710480231
696,0.8835924247659452
697,0.48002099619451144
698,-1.3628361466626284
699,-0.9997409085673823
700,1.3645448057183334
701,2.012163853337361
702,2.058592424765946
703,0.8014495676230968
